alphaC0	alphaC2	alphaC3	alphaC5	alphaC4	alphaC1
0.206908492335	0.562695104152	0.349060390604	0.0207138139432	0.58501491687	0.157031267439
0.184715159302	0.589686873945	0.368701781507	-0.049652275768	0.619558132813	0.568996177436
0.184718161359	0.589688356765	0.368704273681	-0.049648401596	0.619559564394	0.568997645411
0.203846665838	0.560320984072	0.491539587267	-0.228811295081	0.620421429719	0.420704977416
0.203849251014	0.560322346247	0.491541300748	-0.228807319813	0.620422729424	0.420706874583
0.22956993101	0.602413406965	0.0856345849544	-0.165643313555	0.559331041279	0.414941506296
0.229568339068	0.602412606254	0.0856319566639	-0.1656457356	0.559330041497	0.41494033439
0.184624685051	0.596952029677	0.0337254957745	-0.0791876424073	0.53630915922	0.0376632937303
0.184624241713	0.596951833926	0.0337249533825	-0.079188247495	0.536308924814	0.0376627774493
0.231045730827	0.365094141738	0.0105173334762	0.138286614041	0.588113128428	0.190638739236
0.231045617076	0.365094041335	0.0105171911347	0.138286414912	0.588113052353	0.190638597239
0.259267303226	0.409199453887	0.384694845436	0.137273401644	0.60880734519	0.432521616956
0.259269549795	0.409201286556	0.384697473232	0.137276155814	0.60880891712	0.432523756278
0.21422422325	0.560863913836	0.495481640239	-0.166804503396	0.572898245354	0.226837645229
0.214224621624	0.560864167211	0.495482205275	-0.166803828829	0.572898590029	0.226838020698
0.235626971122	0.429153322061	0.389054972883	-0.216844234628	0.648949307024	0.238699141957
0.235627146291	0.429153427183	0.389054936421	-0.216844003265	0.648949291184	0.238699258882
0.227980562789	0.390818629105	0.351014378513	-0.344072431893	0.576788843819	0.523698735354
0.227980253112	0.390818369786	0.351014204204	-0.344072965503	0.576788725286	0.523698470652
0.247255130877	0.582432268566	0.552575864626	0.142194694396	0.609965650182	0.164299355548
0.247257221125	0.582433457332	0.552577170613	0.142196959476	0.609966620729	0.164301621532

