3000,3000,3000,3000,3000,3000,3000,3000,2192,3296
204,204,204,204,204,204,204,204,176,271
0,768,768,768,768,768,768,768,484,935
36,704,704,704,704,704,720,468,330,1149
300,300,544,544,544,798,798,588,240,1685
3132,3132,3132,3132,3132,3132,3132,2552,2324,3783
4128,4128,4128,4128,4128,4128,4128,4128,4128,4567
1980,1980,1980,1980,1980,1980,1980,1980,1980,2395
9624,9624,9624,9624,9624,9624,9624,9624,9624,10229
4800,4800,4800,4800,4800,4800,4800,4642,2112,6042
4860,4860,4860,4860,4860,4860,4860,4860,4144,5924
20712,20712,20712,20712,20712,20712,20712,20712,17048,24515
3372,3372,3372,3372,3372,3372,3372,3372,2352,3685
0,928,928,928,928,928,928,928,928,944
1440,1440,1440,1440,1440,2248,2248,2248,1156,2851
1884,1884,1884,1884,1884,2496,2496,2496,2496,3382
168,168,220,608,608,608,608,608,0,806
9780,9780,9780,9780,9780,9780,9780,10504,10504,14533
816,816,816,816,816,816,816,768,768,1078
112,196,196,0,0,0,0,0,0,307
88,88,0,0,0,0,0,0,0,93
1632,1632,1632,1632,1632,1632,1632,1632,1632,1643
804,804,804,804,804,902,1408,1408,1015,2078
4380,4380,4380,4380,4380,4380,4380,4380,4380,4831
4392,4392,4392,4392,4392,4392,4392,4392,4392,4830
816,816,816,816,816,816,816,816,816,848
672,672,672,672,672,672,672,672,602,1040
17724,17724,17724,17724,17724,17724,17724,17724,15016,22189
252,252,252,252,312,0,0,0,0,396
128,128,128,0,0,0,0,0,0,128
1392,1392,1392,1392,1392,1392,1392,1392,828,1755
2988,2988,2988,2988,2988,2988,2988,2988,2988,3210
3084,3084,3084,3084,3084,3084,3084,3084,3084,3264
4140,4140,4140,4140,4140,4140,4140,3760,3832,5382
5232,5232,5232,5232,5232,5232,5064,5064,5064,6894
8496,8496,8496,8496,8496,8496,8496,8496,6872,9849
1104,1104,1104,1104,1104,1104,963,1216,1216,1625
228,228,242,920,920,920,920,920,920,1012
2688,2688,2688,2688,2688,2688,2688,2776,2776,3779
4332,4332,4332,4332,4332,4332,4332,4332,4332,4694
240,240,1096,1096,1096,1096,1096,1096,1096,1180
2328,2328,2328,2328,2328,2328,2328,2328,2328,2576
4596,4596,4596,4596,4596,4596,4596,4596,4596,5040
2688,2688,2688,2688,2688,2688,2688,2688,2688,2751
4548,4548,4548,4548,4548,4548,4548,4548,4548,4591
3792,3792,3792,3792,3792,3792,3792,3792,3792,3792
2172,2172,2172,2172,2172,1890,2640,2640,2640,3596
416,416,416,416,416,416,416,416,276,512
5868,5868,5868,5868,5868,5868,5868,3750,2732,7577
1176,1176,1176,1176,1176,1176,1408,1408,1272,1778
936,936,936,936,1056,1056,1162,177,0,1651
472,472,472,472,413,588,0,0,0,1533
516,516,516,495,1072,852,852,484,0,1978
1380,1380,1380,1380,1380,1380,1380,1380,1380,1415
164,164,164,0,0,0,0,0,0,174
1356,1356,1356,1356,1356,1356,1356,1104,1104,1598
0,0,0,0,0,0,0,0,0,0
516,516,516,516,627,1104,1104,1104,1104,1329
564,564,564,564,564,564,564,564,627,732
